model,battery_capacity_kWh,efficiency_wh_per_km,range_km,fast_charging_power_kw_dc,fast_charge_port
abarth 500e convertible,37.8,156,225,67.0,CCS
abarth 500e hatchback,37.8,149,225,67.0,CCS
abarth 600e scorpionissima,50.8,158,280,79.0,CCS
abarth 600e turismo,50.8,158,280,79.0,CCS
aiways u5,60.0,156,315,78.0,CCS
aiways u6,60.0,150,350,78.0,CCS
alfa romeo junior elettrica 54 kwh,50.8,128,320,85.0,CCS
alfa romeo junior elettrica 54 kwh veloce,50.8,164,310,85.0,CCS
alpine a290 electric 180 hp,52.0,138,310,70.0,CCS
alpine a290 electric 220 hp,52.0,144,305,70.0,CCS
audi a6 avant e-tron,75.8,146,465,150.0,CCS
audi a6 avant e-tron performance,94.9,151,575,200.0,CCS
audi a6 avant e-tron quattro,94.9,157,560,200.0,CCS
audi a6 sportback e-tron,75.8,136,495,150.0,CCS
audi a6 sportback e-tron performance,94.9,141,610,200.0,CCS
audi a6 sportback e-tron quattro,94.9,147,590,200.0,CCS
audi q4 sportback e-tron 40,59.0,156,340,110.0,CCS
audi q4 sportback e-tron 45,77.0,162,435,120.0,CCS
audi q4 sportback e-tron 45 quattro,77.0,165,410,120.0,CCS
audi q4 sportback e-tron 55 quattro,77.0,165,415,120.0,CCS
audi q4 e-tron 40,59.0,159,325,110.0,CCS
audi q4 e-tron 45,77.0,169,420,120.0,CCS
audi q4 e-tron 45 quattro,77.0,171,395,120.0,CCS
audi q4 e-tron 55 quattro,77.0,171,395,120.0,CCS
audi q6 e-tron,75.8,166,395,150.0,CCS
audi q6 e-tron sportback,75.8,139,410,150.0,CCS
audi q6 e-tron sportback performance,94.9,145,510,190.0,CCS
audi q6 e-tron sportback quattro,94.9,149,500,200.0,CCS
audi q6 e-tron performance,94.9,171,490,190.0,CCS
audi q6 e-tron quattro,94.9,176,480,200.0,CCS
audi s6 avant e-tron,94.9,156,530,200.0,CCS
audi s6 sportback e-tron,94.9,149,555,200.0,CCS
audi sq6 e-tron,94.9,169,470,200.0,CCS
audi sq6 e-tron sportback,94.9,164,495,200.0,CCS
audi e-tron gt rs,97.0,184,525,281.0,CCS
audi e-tron gt rs performance,97.0,182,525,281.0,CCS
audi e-tron gt s,97.0,172,540,281.0,CCS
audi e-tron gt quattro,97.0,169,540,281.0,CCS
bmw i4 m50,81.3,197,450,131.0,CCS
bmw i4 edrive35,67.1,174,430,95.0,CCS
bmw i4 edrive40,81.3,174,515,131.0,CCS
bmw i4 xdrive40,81.3,183,490,131.0,CCS
bmw i5 m60 xdrive sedan (my25),81.2,172,430,136.0,CCS
bmw i5 m60 xdrive touring (my25),81.2,179,425,136.0,CCS
bmw i5 edrive40 sedan (my25),81.2,159,480,136.0,CCS
bmw i5 edrive40 touring (my25),81.2,165,465,136.0,CCS
bmw i5 xdrive40 sedan (my25),81.2,167,465,136.0,CCS
bmw i5 xdrive40 touring (my25),81.2,174,450,136.0,CCS
bmw i7 m70 xdrive,101.7,208,490,159.0,CCS
bmw i7 edrive50,101.7,177,520,159.0,CCS
bmw i7 xdrive60,101.7,172,510,159.0,CCS
bmw ix m70 xdrive,108.9,209,500,150.0,CCS
bmw ix xdrive45,94.8,193,470,115.0,CCS
bmw ix xdrive60,109.1,194,525,150.0,CCS
bmw ix1 edrive20,64.7,150,390,94.0,CCS
bmw ix1 xdrive30,64.7,155,380,94.0,CCS
bmw ix2 edrive20,64.7,147,395,94.0,CCS
bmw ix2 xdrive30,64.7,155,385,94.0,CCS
byd atto 2,45.1,145,245,51.0,CCS
byd atto 3 (my25),60.5,144,340,75.0,CCS
byd dolphin 44.9 kwh active,44.9,132,265,50.0,CCS
byd dolphin 44.9 kwh boost,44.9,145,260,50.0,CCS
byd dolphin 60.4 kwh,60.5,142,350,65.0,CCS
byd dolphin surf 30 kwh active,30.0,136,190,45.0,CCS
byd dolphin surf 43.2 kwh boost,43.2,134,270,60.0,CCS
byd dolphin surf 43.2 kwh comfort,43.2,139,265,60.0,CCS
byd seal 61.4 kwh rwd comfort,61.4,133,365,75.0,CCS
byd seal 82.5 kwh awd excellence,82.5,159,445,100.0,CCS
byd seal 82.5 kwh rwd design,82.5,145,480,100.0,CCS
byd seal u 71.8 kwh comfort,71.8,171,360,72.0,CCS
byd seal u 87 kwh design,87.0,174,425,85.0,CCS
byd sealion 7 82.5 kwh awd design,82.5,181,400,115.0,CCS
byd sealion 7 82.5 kwh rwd comfort,82.5,171,415,115.0,CCS
byd sealion 7 91.3 kwh awd excellence,91.3,182,430,165.0,CCS
byd tang flagship,108.8,205,460,100.0,CCS
cupra born 170 kw - 59 kwh,59.0,156,360,110.0,CCS
cupra born 170 kw - 77 kwh,77.0,157,460,125.0,CCS
cupra born vz,79.0,149,465,135.0,CCS
cupra tavascan endurance,77.0,142,445,120.0,CCS
cupra tavascan vz,77.0,150,425,120.0,CCS
cadillac lyriq 600 e4,102.0,192,460,165.0,CCS
citroen e-berlingo m 50 kwh,50.0,149,235,80.0,CCS
citroen e-berlingo xl 50 kwh,50.0,149,230,80.0,CCS
citroen e-c3,44.0,135,255,60.0,CCS
citroen e-c3 aircross,44.0,144,240,60.0,CCS
citroen e-c4,46.3,135,285,78.0,CCS
citroen e-c4 54 kwh,50.8,122,325,78.0,CCS
citroen e-c4 x,46.3,132,290,78.0,CCS
citroen e-c4 x 54 kwh,50.8,119,335,78.0,CCS
citroen e-spacetourer m 50 kwh,46.3,217,180,78.0,CCS
citroen e-spacetourer m 75 kwh,68.0,202,260,79.0,CCS
citroen e-spacetourer xl 50 kwh,46.3,219,180,78.0,CCS
citroen e-spacetourer xl 75 kwh,68.0,204,260,79.0,CCS
ds 3 e-tense,50.8,128,300,85.0,CCS
ds n°4 e-tense,58.3,130,375,70.0,CCS
ds n°8 awd long range,97.2,146,530,130.0,CCS
ds n°8 fwd,73.7,141,415,100.0,CCS
ds n°8 fwd long range,97.2,136,545,130.0,CCS
dacia spring electric 45,25.0,109,165,29.0,CCS
dacia spring electric 65,25.0,114,160,29.0,CCS
dongfeng box 31.4 kwh,29.0,126,190,50.0,CCS
dongfeng box 42.3 kwh,40.0,129,255,51.0,CCS
elaris beo 86 kwh,81.0,203,390,65.0,CCS
fiat 500e 3+1 24 kwh,21.3,112,135,40.0,CCS
fiat 500e 3+1 42 kwh,37.3,122,235,67.0,CCS
fiat 500e cabrio 24 kwh,21.3,112,135,40.0,CCS
fiat 500e cabrio 42 kwh,37.3,125,230,67.0,CCS
fiat 500e hatchback 24 kwh,21.3,112,135,40.0,CCS
fiat 500e hatchback 42 kwh,37.3,118,235,67.0,CCS
fiat 600e,50.8,124,310,79.0,CCS
fiat grande panda,43.8,136,260,60.0,CCS
ford capri extended range awd,79.0,148,455,135.0,CCS
ford capri extended range rwd,77.0,135,455,120.0,CCS
ford capri standard range rwd,52.0,163,320,85.0,CCS
ford explorer extended range awd,79.0,153,440,135.0,CCS
ford explorer extended range rwd,77.0,139,435,120.0,CCS
ford explorer standard range rwd,52.0,137,305,85.0,CCS
ford mustang mach-e er awd (my25),88.0,160,435,105.0,CCS
ford mustang mach-e er awd (my24),91.0,165,445,115.0,CCS
ford mustang mach-e er rwd (my25),88.0,147,475,105.0,CCS
ford mustang mach-e er rwd (my24),91.0,152,480,115.0,CCS
ford mustang mach-e gt (my24),91.0,177,425,115.0,CCS
ford mustang mach-e gt (my25),91.0,177,435,115.0,CCS
ford mustang mach-e rally (my25),91.0,178,415,115.0,CCS
ford mustang mach-e rally (my24),91.0,178,410,115.0,CCS
ford mustang mach-e sr rwd (my24),72.6,154,385,100.0,CCS
ford mustang mach-e sr rwd (my25),72.6,154,380,100.0,CCS
ford puma gen-e,43.6,126,275,85.0,CCS
ford e-tourneo courier,43.6,164,200,80.0,CCS
ford e-tourneo custom l1 160 kw,64.0,370,235,70.0,CCS
ford e-tourneo custom l1 210 kw,64.0,370,235,70.0,CCS
ford e-tourneo custom l2 160 kw,64.0,370,235,70.0,CCS
ford e-tourneo custom l2 210 kw,64.0,370,235,70.0,CCS
gwm ora 03 48 kwh,45.4,146,260,45.0,CCS
gwm ora 03 63 kwh,59.3,141,340,56.0,CCS
gwm ora 03 gt,59.3,148,325,56.0,CCS
gwm ora 07 gt,83.5,161,430,80.0,CCS
gwm ora 07 pro,64.3,146,350,75.0,CCS
gwm ora 07 pure,64.3,146,350,75.0,CCS
genesis g80 electrified luxury,82.5,159,440,160.0,CCS
genesis gv60 premium,74.0,143,390,200.0,CCS
genesis gv60 sport,74.0,157,375,200.0,CCS
genesis gv60 sport plus,74.0,159,360,200.0,CCS
genesis gv70 electrified sport,74.0,163,350,190.0,CCS
honda e:ny1,61.9,150,335,60.0,CCS
hongqi e-hs9 120 kwh,112.0,217,455,110.0,CCS
hongqi e-hs9 84 kwh,76.5,193,320,112.0,CCS
hongqi e-hs9 99 kwh,90.0,194,370,112.0,CCS
hyundai inster long range,46.0,124,300,70.0,CCS
hyundai inster standard range,39.0,119,255,60.0,CCS
hyundai ioniq 5 63 kwh rwd (my24),60.0,136,345,150.0,CCS
hyundai ioniq 5 84 kwh awd (my24),80.0,162,445,205.0,CCS
hyundai ioniq 5 84 kwh rwd (my24),80.0,155,450,205.0,CCS
hyundai ioniq 5 n (my24),80.0,179,390,205.0,CCS
hyundai ioniq 6 long range 2wd,74.0,136,495,200.0,CCS
hyundai ioniq 6 long range awd,74.0,143,440,200.0,CCS
hyundai ioniq 6 standard range 2wd,50.0,117,335,120.0,CCS
hyundai ioniq 9 long range awd,106.0,177,490,195.0,CCS
hyundai ioniq 9 long range rwd,106.0,171,500,195.0,CCS
hyundai ioniq 9 performance awd,106.0,177,480,195.0,CCS
hyundai kona electric 48 kwh,48.4,128,295,50.0,CCS
hyundai kona electric 65 kwh,65.4,144,390,86.0,CCS
jaguar i-pace ev400,84.7,208,380,85.0,CCS
jeep avenger electric,50.8,132,310,85.0,CCS
jeep compass electric 74 kwh,74.0,148,370,90.0,CCS
kgm torres evx,72.0,156,370,85.0,CCS
kia ev3 long range,78.0,139,455,105.0,CCS
kia ev3 standard range,55.0,133,325,80.0,CCS
kia ev4 hatchback long range,78.0,132,475,105.0,CCS
kia ev4 hatchback standard range,55.0,134,340,80.0,CCS
kia ev4 sedan long range,78.0,124,495,105.0,CCS
kia ev4 sedan standard range,55.0,128,355,80.0,CCS
kia ev6 gt,80.0,178,385,205.0,CCS
kia ev6 long range 2wd,80.0,143,455,205.0,CCS
kia ev6 long range awd,80.0,154,440,205.0,CCS
kia ev6 standard range 2wd,60.0,140,345,150.0,CCS
kia ev9 76.1 kwh rwd,73.0,165,355,160.0,CCS
kia ev9 99.8 kwh awd,96.0,188,435,194.0,CCS
kia ev9 99.8 kwh awd gt,96.0,190,420,194.0,CCS
kia ev9 99.8 kwh awd gt-line,96.0,190,425,194.0,CCS
kia ev9 99.8 kwh rwd,96.0,171,450,194.0,CCS
kia niro ev,64.8,140,385,70.0,CCS
lancia ypsilon,48.1,122,310,80.0,CCS
leapmotor c10,69.9,166,350,70.0,CCS
leapmotor t03,36.0,136,225,30.0,CCS
lexus rz 300e,64.0,149,365,100.0,CCS
lexus rz 450e,64.0,158,350,100.0,CCS
lexus ux 300e,64.0,145,340,35.0,CHAdeMO
lotus eletre,109.0,204,495,259.0,CCS
lotus eletre r,109.0,266,455,259.0,CCS
lotus eletre s,109.0,222,480,259.0,CCS
lotus emeya,98.9,198,520,240.0,CCS
lotus emeya r,98.9,227,465,240.0,CCS
lotus emeya s,98.9,198,520,240.0,CCS
lucid air grand touring,112.0,143,665,184.0,CCS
lucid air pure rwd,92.0,130,565,160.0,CCS
lucid air touring,92.0,142,580,160.0,CCS
lynk&co 02,65.0,149,370,90.0,CCS
mg cyberster gt,74.4,168,395,85.0,CCS
mg cyberster trophy,74.4,146,425,85.0,CCS
mg 4 electric 51 kwh,50.8,145,300,68.0,CCS
mg 4 electric 64 kwh,61.7,142,360,116.0,CCS
mg 4 electric 77 kwh,74.4,143,425,110.0,CCS
mg 4 electric xpower,61.7,160,320,116.0,CCS
mg 5 electric long range,57.4,151,335,60.0,CCS
mg 5 electric standard range,46.0,148,265,53.0,CCS
mg s5  ev 49 kwh,47.1,139,275,80.0,CCS
mg s5  ev 64 kwh,62.1,134,365,90.0,CCS
mg zs ev long range,68.3,155,370,82.0,CCS
mg zs ev standard range,49.0,153,265,50.0,CCS
maserati grancabrio folgore,83.0,198,395,190.0,CCS
maserati granturismo folgore,83.0,182,420,217.0,CCS
maserati grecale folgore,95.0,220,400,110.0,CCS
maxus mifa 9,84.0,195,365,103.0,CCS
mazda 6e 68.8 kwh,66.0,138,390,120.0,CCS
mazda 6e long range 80 kwh,75.0,136,440,70.0,CCS
mercedes-benz cla 250+,85.0,122,565,235.0,CCS
mercedes-benz cla 350 4matic,85.0,126,550,235.0,CCS
mercedes-benz eqa 250,66.5,146,395,100.0,CCS
mercedes-benz eqa 250+,70.5,142,420,90.0,CCS
mercedes-benz eqa 300 4matic,66.5,162,350,100.0,CCS
mercedes-benz eqa 350 4matic,66.5,162,350,100.0,CCS
mercedes-benz eqb 250+,70.5,152,415,90.0,CCS
mercedes-benz eqb 300 4matic,66.5,168,345,100.0,CCS
mercedes-benz eqb 350 4matic,66.5,168,345,100.0,CCS
mercedes-benz eqe 300,89.0,163,525,120.0,CCS
mercedes-benz eqe 350 4matic,90.6,173,515,141.0,CCS
mercedes-benz eqe 350+,96.0,164,555,141.0,CCS
mercedes-benz eqe 500 4matic,90.6,173,505,141.0,CCS
mercedes-benz eqe amg 43 4matic,90.6,207,450,141.0,CCS
mercedes-benz eqe amg 53 4matic+,90.6,208,450,141.0,CCS
mercedes-benz eqe suv 300,90.6,182,450,141.0,CCS
mercedes-benz eqe suv 350 4matic,90.6,189,435,141.0,CCS
mercedes-benz eqe suv 350+,96.0,164,475,141.0,CCS
mercedes-benz eqe suv 500 4matic,96.0,187,455,141.0,CCS
mercedes-benz eqe suv amg 43 4matic,90.6,214,425,141.0,CCS
mercedes-benz eqe suv amg 53 4matic+,90.6,242,420,141.0,CCS
mercedes-benz eqs 350,96.0,165,570,130.0,CCS
mercedes-benz eqs 450 4matic,118.0,180,655,160.0,CCS
mercedes-benz eqs 450+,118.0,173,685,160.0,CCS
mercedes-benz eqs 500 4matic,118.0,180,640,160.0,CCS
mercedes-benz eqs 580 4matic,118.0,180,640,160.0,CCS
