County Name,County Number,District Abbreviation,District Name,Square Miles,Statewide Percent of Square Miles,Per Capita Square Miles,Registered Vehicles,Statewide Percent of Registered Vehicles,Per Capita Registered Vehicles,Population Estimate**,Statewide Percent of Population Estimate**, Daily Vehicle Miles* ,Statewide Percent of Daily Vehicle Miles*,Per Capita Daily Vehicle Miles*,Center Line Miles*,Statewide Percent of Center Line Miles*,Per Capita Center Line Miles*, Lane Miles* ,Statewide Percent of Lane Miles*,Per Capita Lane Miles*, Construction Expenditures ,Statewide Percent of Construction Expenditures,Per Capita Construction Expenditures, Non-Contract Maintenance Expenditures ,Statewide Percent of Non-Contract Maintenance Expenditures,Per Capita Non-Contract Maintenance Expenditures,Contract Maintenance Expenditures,Statewide Percent of Contract Maintenance Expenditures,Per Capita Contract Maintenance Expenditures,Combined Construction & Maintenance Expenditures,Statewide Percent of Combined Construction & Maintenance Expenditures,Per Capita Combined Construction & Maintenance Expenditures,,
Reagan,192,SJT,San Angelo,"1,175 ",0.45%,0.34 ,"5,191",0.02%,1.52 ,"3,414",0.01%,"376,536.963",0.06%,110.292 ,158.546,0.20%,0.046 ,319.196,0.16%,0.093 ,"$1,885,145",0.02%,$552 ,"$857,998",0.14%,$251 ,"$2,515,330",0.06%,$737 ,"$5,258,473",0.03%,"$1,540 ",,
Real,193,SJT,San Angelo,699 ,0.27%,0.26 ,"4,770",0.02%,1.74 ,"2,737",0.01%,"109,087.719",0.02%,39.857 ,147.661,0.18%,0.054 ,295.322,0.15%,0.108 ,"$147,779",0.00%,$54 ,"$578,083",0.10%,$211 ,"$445,553",0.01%,$163 ,"$1,171,415",0.01%,$428 ,,
Red River,194,PAR,Paris,"1,044 ",0.40%,0.09 ,"15,076",0.06%,1.28 ,"11,793",0.04%,"485,133.426",0.08%,41.137 ,374.215,0.46%,0.032 ,759.850,0.38%,0.064 ,"$5,629,484",0.05%,$477 ,"$2,544,839",0.42%,$216 ,"$13,946,862",0.35%,"$1,183 ","$22,121,185",0.13%,"$1,876 ",,
Reeves,195,ODA,Odessa,"2,635 ",1.01%,0.18 ,"17,663",0.07%,1.17 ,"15,034",0.05%,"1,778,554.779",0.28%,118.302 ,490.388,0.60%,0.033 ,"1,177.046",0.58%,0.078 ,"$82,381,889",0.68%,"$5,480 ","$2,669,556",0.44%,$178 ,"$41,621,423",1.04%,"$2,768 ","$126,672,868",0.76%,"$8,426 ",,
Refugio,196,CRP,Corpus Christi,770 ,0.29%,0.11 ,"8,262",0.03%,1.21 ,"6,848",0.02%,"822,834.805",0.13%,120.157 ,193.722,0.24%,0.028 ,491.348,0.24%,0.072 ,"$11,623,917",0.10%,"$1,697 ","$2,348,673",0.39%,$343 ,"$7,295,600",0.18%,"$1,065 ","$21,268,190",0.13%,"$3,106 ",,
Roberts,197,AMA,Amarillo,924 ,0.35%,1.14 ,"1,399",0.01%,1.72 ,813,0.00%,"80,645.921",0.01%,99.195 ,120.319,0.15%,0.148 ,243.505,0.12%,0.300 ,"$5,576,957",0.05%,"$6,860 ","$320,869",0.05%,$395 ,"$212,911",0.01%,$262 ,"$6,110,736",0.04%,"$7,516 ",,
Robertson,198,BRY,Bryan,855 ,0.33%,0.05 ,"23,042",0.09%,1.31 ,"17,653",0.06%,"1,041,750.881",0.17%,59.013 ,294.521,0.36%,0.017 ,660.858,0.33%,0.037 ,"$13,022,694",0.11%,$738 ,"$2,646,101",0.44%,$150 ,"$10,872,626",0.27%,$616 ,"$26,541,420",0.16%,"$1,504 ",,
Rockwall,199,DAL,Dallas,127 ,0.05%,0.00 ,"117,260",0.43%,0.87 ,"135,364",0.43%,"3,011,488.192",0.48%,22.247 ,141.770,0.17%,0.001 ,366.233,0.18%,0.003 ,"$130,473,879",1.08%,$964 ,"$721,439",0.12%,$5 ,"-$2,607,737",-0.06%,($19),"$128,587,581",0.77%,$950 ,,
Runnels,200,SJT,San Angelo,"1,051 ",0.40%,0.11 ,"13,105",0.05%,1.36 ,"9,611",0.03%,"476,422.293",0.08%,49.571 ,342.703,0.42%,0.036 ,734.378,0.36%,0.076 ,"$13,384,046",0.11%,"$1,393 ","$1,558,647",0.26%,$162 ,"$10,440,548",0.26%,"$1,086 ","$25,383,240",0.15%,"$2,641 ",,
Rusk,201,TYL,Tyler,924 ,0.35%,0.02 ,"55,587",0.21%,1.04 ,"53,498",0.17%,"1,377,320.504",0.22%,25.745 ,520.821,0.64%,0.010 ,"1,175.876",0.58%,0.022 ,"$29,235,505",0.24%,$546 ,"$6,919,732",1.14%,$129 ,"$30,944,425",0.77%,$578 ,"$67,099,663",0.40%,"$1,254 ",,
Sabine,202,LFK,Lufkin,492 ,0.19%,0.05 ,"13,870",0.05%,1.39 ,"9,984",0.03%,"282,129.596",0.05%,28.258 ,237.164,0.29%,0.024 ,482.486,0.24%,0.048 ,"$3,040,794",0.03%,$305 ,"$2,256,493",0.37%,$226 ,"$3,854,081",0.10%,$386 ,"$9,151,369",0.05%,$917 ,,
San Augustine,203,LFK,Lufkin,531 ,0.20%,0.07 ,"10,040",0.04%,1.27 ,"7,887",0.02%,"275,345.801",0.04%,34.911 ,263.854,0.33%,0.033 ,537.995,0.27%,0.068 ,"$9,284,037",0.08%,"$1,177 ","$5,028,973",0.83%,$638 ,"$8,761,286",0.22%,"$1,111 ","$23,074,296",0.14%,"$2,926 ",,
San Jacinto,204,LFK,Lufkin,569 ,0.22%,0.02 ,"33,210",0.12%,1.15 ,"28,777",0.09%,"913,057.729",0.15%,31.729 ,243.789,0.30%,0.008 ,533.840,0.27%,0.019 ,"$28,670,718",0.24%,$996 ,"$2,221,797",0.37%,$77 ,"$7,995,315",0.20%,$278 ,"$38,887,830",0.23%,"$1,351 ",,
San Patricio,205,CRP,Corpus Christi,693 ,0.27%,0.01 ,"72,432",0.27%,1.01 ,"71,946",0.23%,"2,423,641.019",0.39%,33.687 ,378.275,0.47%,0.005 ,998.342,0.50%,0.014 ,"$29,211,579",0.24%,$406 ,"$3,082,829",0.51%,$43 ,"$22,508,024",0.56%,$313 ,"$54,802,433",0.33%,$762 ,,
San Saba,206,BWD,Brownwood,"1,135 ",0.43%,0.20 ,"8,460",0.03%,1.50 ,"5,626",0.02%,"195,883.925",0.03%,34.818 ,216.036,0.27%,0.038 ,436.976,0.22%,0.078 ,"$6,165,179",0.05%,"$1,096 ","$1,795,211",0.30%,$319 ,"$16,043,504",0.40%,"$2,852 ","$24,003,894",0.14%,"$4,267 ",,
Schleicher,207,SJT,San Angelo,"1,311 ",0.50%,0.59 ,"4,162",0.02%,1.86 ,"2,238",0.01%,"118,209.866",0.02%,52.819 ,178.622,0.22%,0.080 ,361.468,0.18%,0.162 ,"$523,743",0.00%,$234 ,"$984,828",0.16%,$440 ,"$1,078,224",0.03%,$482 ,"$2,586,795",0.02%,"$1,156 ",,
Scurry,208,ABL,Abilene,905 ,0.35%,0.06 ,"24,590",0.09%,1.53 ,"16,044",0.05%,"670,074.937",0.11%,41.765 ,289.848,0.36%,0.018 ,687.047,0.34%,0.043 ,"$18,489,832",0.15%,"$1,152 ","$2,619,381",0.43%,$163 ,"$14,599,782",0.36%,$910 ,"$35,708,994",0.21%,"$2,226 ",,
Shackelford,209,ABL,Abilene,914 ,0.35%,0.31 ,"4,438",0.02%,1.51 ,"2,938",0.01%,"159,333.526",0.03%,54.232 ,174.524,0.21%,0.059 ,355.006,0.18%,0.121 ,"$4,334,948",0.04%,"$1,475 ","$887,509",0.15%,$302 ,"$2,223,088",0.06%,$757 ,"$7,445,546",0.04%,"$2,534 ",,
Shelby,210,LFK,Lufkin,796 ,0.30%,0.03 ,"29,594",0.11%,1.23 ,"24,094",0.08%,"784,777.506",0.13%,32.571 ,383.506,0.47%,0.016 ,874.760,0.43%,0.036 ,"$3,700,891",0.03%,$154 ,"$2,593,274",0.43%,$108 ,"$12,171,082",0.30%,$505 ,"$18,465,247",0.11%,$766 ,,
Sherman,211,AMA,Amarillo,923 ,0.35%,0.33 ,"3,225",0.01%,1.16 ,"2,773",0.01%,"284,651.938",0.05%,102.651 ,194.871,0.24%,0.070 ,444.773,0.22%,0.160 ,"$2,703,042",0.02%,$975 ,"$2,520,656",0.42%,$909 ,"$944,308",0.02%,$341 ,"$6,168,006",0.04%,"$2,224 ",,
Smith,212,TYL,Tyler,921 ,0.35%,0.00 ,"248,792",0.92%,1.02 ,"245,101",0.78%,"5,946,792.360",0.95%,24.263 ,595.588,0.73%,0.002 ,"1,615.852",0.80%,0.007 ,"$70,196,102",0.58%,$286 ,"$6,472,906",1.07%,$26 ,"$34,109,404",0.85%,$139 ,"$110,778,412",0.66%,$452 ,,
Somervell,213,FTW,Fort Worth,186 ,0.07%,0.02 ,"12,756",0.05%,1.24 ,"10,288",0.03%,"329,236.769",0.05%,32.002 ,91.405,0.11%,0.009 ,199.494,0.10%,0.019 ,"$2,055,891",0.02%,$200 ,"$642,416",0.11%,$62 ,"$2,000,435",0.05%,$194 ,"$4,698,742",0.03%,$457 ,,
Starr,214,PHR,Pharr,"1,223 ",0.47%,0.02 ,"61,015",0.23%,0.91 ,"66,763",0.21%,"1,091,165.375",0.17%,16.344 ,232.658,0.29%,0.003 ,558.534,0.28%,0.008 ,"$33,376,389",0.28%,$500 ,"$1,563,833",0.26%,$23 ,"$3,903,725",0.10%,$58 ,"$38,843,948",0.23%,$582 ,,
Stephens,215,BWD,Brownwood,897 ,0.34%,0.10 ,"10,301",0.04%,1.12 ,"9,210",0.03%,"265,481.024",0.04%,28.825 ,266.385,0.33%,0.029 ,559.277,0.28%,0.061 ,"$2,045,388",0.02%,$222 ,"$1,336,367",0.22%,$145 ,"$5,020,492",0.12%,$545 ,"$8,402,247",0.05%,$912 ,,
Sterling,216,SJT,San Angelo,923 ,0.35%,0.68 ,"2,367",0.01%,1.75 ,"1,350",0.00%,"273,622.625",0.04%,202.683 ,108.580,0.13%,0.080 ,308.871,0.15%,0.229 ,"$13,542,307",0.11%,"$10,031 ","$389,793",0.06%,$289 ,"$231,159",0.01%,$171 ,"$14,163,259",0.08%,"$10,491 ",,
Stonewall,217,ABL,Abilene,916 ,0.35%,0.74 ,"1,962",0.01%,1.59 ,"1,237",0.00%,"78,641.640",0.01%,63.574 ,163.227,0.20%,0.132 ,326.822,0.16%,0.264 ,"$6,694,360",0.06%,"$5,412 ","$1,114,254",0.18%,$901 ,"$2,059,675",0.05%,"$1,665 ","$9,868,289",0.06%,"$7,978 ",,
Sutton,218,SJT,San Angelo,"1,454 ",0.56%,0.43 ,"5,607",0.02%,1.67 ,"3,350",0.01%,"713,556.790",0.11%,213.002 ,240.655,0.30%,0.072 ,591.324,0.29%,0.177 ,"$912,599",0.01%,$272 ,"$495,143",0.08%,$148 ,"$3,757,355",0.09%,"$1,122 ","$5,165,097",0.03%,"$1,542 ",,
Swisher,219,LBB,Lubbock,890 ,0.34%,0.13 ,"7,081",0.03%,1.04 ,"6,790",0.02%,"455,447.457",0.07%,67.076 ,351.229,0.43%,0.052 ,819.054,0.41%,0.121 ,"$958,914",0.01%,$141 ,"$1,502,131",0.25%,$221 ,"$1,980,355",0.05%,$292 ,"$4,441,399",0.03%,$654 ,,
Tarrant,220,FTW,Fort Worth,865 ,0.33%,0.00 ,"1,743,345",6.47%,0.78 ,"2,245,229",7.11%,"37,894,703.796",6.07%,16.878 ,902.197,1.11%,0.000 ,"3,548.462",1.76%,0.002 ,"$703,870,489",5.82%,$313 ,"$10,592,555",1.75%,$5 ,"$104,692,940",2.61%,$47 ,"$819,155,984",4.90%,$365 ,,
Taylor,221,ABL,Abilene,916 ,0.35%,0.01 ,"137,904",0.51%,0.92 ,"149,153",0.47%,"2,964,665.286",0.47%,19.877 ,483.962,0.60%,0.003 ,"1,198.001",0.60%,0.008 ,"$44,146,982",0.37%,$296 ,"$3,149,746",0.52%,$21 ,"$24,144,786",0.60%,$162 ,"$71,441,514",0.43%,$479 ,,
Terrell,222,ODA,Odessa,"2,358 ",0.90%,3.20 ,"1,105",0.00%,1.50 ,737,0.00%,"113,946.482",0.02%,154.609 ,175.831,0.22%,0.239 ,374.616,0.19%,0.508 ,"$4,464,619",0.04%,"$6,058 ","$544,895",0.09%,$739 ,"$1,004,475",0.02%,"$1,363 ","$6,013,989",0.04%,"$8,160 ",,
Terry,223,LBB,Lubbock,889 ,0.34%,0.08 ,"12,259",0.05%,1.06 ,"11,581",0.04%,"585,969.664",0.09%,50.598 ,275.040,0.34%,0.024 ,628.122,0.31%,0.054 ,"$6,526,670",0.05%,$564 ,"$986,223",0.16%,$85 ,"$15,197,071",0.38%,"$1,312 ","$22,709,964",0.14%,"$1,961 ",,
Throckmorton,224,WFS,Wichita Falls,913 ,0.35%,0.58 ,"2,215",0.01%,1.40 ,"1,587",0.01%,"61,631.410",0.01%,38.835 ,169.418,0.21%,0.107 ,342.880,0.17%,0.216 ,"$8,940,439",0.07%,"$5,634 ","$1,336,981",0.22%,$842 ,"$4,159,643",0.10%,"$2,621 ","$14,437,063",0.09%,"$9,097 ",,
Titus,225,ATL,Atlanta,406 ,0.16%,0.01 ,"33,598",0.12%,1.06 ,"31,626",0.10%,"1,201,995.094",0.19%,38.007 ,238.270,0.29%,0.008 ,592.158,0.29%,0.019 ,"$16,891,272",0.14%,$534 ,"$2,052,181",0.34%,$65 ,"$7,874,360",0.20%,$249 ,"$26,817,813",0.16%,$848 ,,
Tom Green,226,SJT,San Angelo,"1,522 ",0.58%,0.01 ,"125,170",0.46%,1.01 ,"123,326",0.39%,"2,016,228.964",0.32%,16.349 ,399.760,0.49%,0.003 ,"1,060.804",0.53%,0.009 ,"$32,755,752",0.27%,$266 ,"$5,456,853",0.90%,$44 ,"$14,866,340",0.37%,$121 ,"$53,078,945",0.32%,$430 ,,
Travis,227,AUS,Austin,994 ,0.38%,0.00 ,"1,003,803",3.72%,0.72 ,"1,395,906",4.42%,"22,808,074.936",3.65%,16.339 ,618.590,0.76%,0.000 ,"2,204.678",1.10%,0.002 ,"$664,908,045",5.50%,$476 ,"$4,440,702",0.73%,$3 ,"$328,798,803",8.18%,$236 ,"$998,147,550",5.97%,$715 ,,
Trinity,228,LFK,Lufkin,694 ,0.27%,0.05 ,"17,891",0.07%,1.23 ,"14,510",0.05%,"401,790.632",0.06%,27.691 ,214.546,0.26%,0.015 ,442.810,0.22%,0.031 ,"$1,439,116",0.01%,$99 ,"$2,539,706",0.42%,$175 ,"$5,782,522",0.14%,$399 ,"$9,761,344",0.06%,$673 ,,
Tyler,229,BMT,Beaumont,924 ,0.35%,0.04 ,"23,624",0.09%,1.15 ,"20,574",0.07%,"591,703.608",0.09%,28.760 ,250.120,0.31%,0.012 ,516.643,0.26%,0.025 ,"$56,847,328",0.47%,"$2,763 ","$2,165,796",0.36%,$105 ,"$17,594,462",0.44%,$855 ,"$76,607,587",0.46%,"$3,724 ",,
Upshur,230,ATL,Atlanta,583 ,0.22%,0.01 ,"47,255",0.18%,1.07 ,"44,174",0.14%,"1,106,999.917",0.18%,25.060 ,331.334,0.41%,0.008 ,788.842,0.39%,0.018 ,"$23,065,802",0.19%,$522 ,"$2,094,613",0.35%,$47 ,"$7,947,058",0.20%,$180 ,"$33,107,473",0.20%,$749 ,,
Upton,231,ODA,Odessa,"1,241 ",0.48%,0.38 ,"5,088",0.02%,1.54 ,"3,296",0.01%,"344,637.279",0.06%,104.562 ,189.914,0.23%,0.058 ,392.294,0.19%,0.119 ,"$46,895,650",0.39%,"$14,228 ","$582,894",0.10%,$177 ,"$557,632",0.01%,$169 ,"$48,036,177",0.29%,"$14,574 ",,
Uvalde,232,SAT,San Antonio,"1,552 ",0.59%,0.06 ,"27,804",0.10%,1.14 ,"24,344",0.08%,"670,524.812",0.11%,27.544 ,343.490,0.42%,0.014 ,765.580,0.38%,0.031 ,"$5,796,220",0.05%,$238 ,"$2,314,770",0.38%,$95 ,"$2,151,060",0.05%,$88 ,"$10,262,050",0.06%,$422 ,,
Val Verde,233,LRD,Laredo,"3,145 ",1.20%,0.07 ,"49,325",0.18%,1.02 ,"48,163",0.15%,"612,258.867",0.10%,12.712 ,324.242,0.40%,0.007 ,747.485,0.37%,0.016 ,"$12,704,442",0.11%,$264 ,"$2,340,838",0.39%,$49 ,"$3,008,807",0.07%,$62 ,"$18,054,086",0.11%,$375 ,,
Van Zandt,234,TYL,Tyler,843 ,0.32%,0.01 ,"70,984",0.26%,1.08 ,"65,449",0.21%,"2,670,613.519",0.43%,40.804 ,519.466,0.64%,0.008 ,"1,173.716",0.58%,0.018 ,"$19,957,844",0.17%,$305 ,"$5,988,720",0.99%,$92 ,"$34,513,192",0.86%,$527 ,"$60,459,756",0.36%,$924 ,,
Victoria,235,YKM,Yoakum,882 ,0.34%,0.01 ,"92,607",0.34%,1.02 ,"90,845",0.29%,"2,364,206.426",0.38%,26.025 ,324.194,0.40%,0.004 ,932.164,0.46%,0.010 ,"$39,465,000",0.33%,$434 ,"$2,635,150",0.44%,$29 ,"$37,188,477",0.93%,$409 ,"$79,288,627",0.47%,$873 ,,
Walker,236,BRY,Bryan,784 ,0.30%,0.01 ,"62,942",0.23%,0.78 ,"80,914",0.26%,"3,207,038.973",0.51%,39.635 ,346.418,0.43%,0.004 ,838.317,0.42%,0.010 ,"$38,583,353",0.32%,$477 ,"$3,133,841",0.52%,$39 ,"$8,518,738",0.21%,$105 ,"$50,235,933",0.30%,$621 ,,
Waller,237,HOU,Houston,513 ,0.20%,0.01 ,"69,599",0.26%,1.05 ,"65,997",0.21%,"2,649,842.660",0.42%,40.151 ,238.008,0.29%,0.004 ,607.473,0.30%,0.009 ,"$24,373,483",0.20%,$369 ,"$2,096,537",0.35%,$32 ,"$8,550,550",0.21%,$130 ,"$35,020,570",0.21%,$531 ,,
Ward,238,ODA,Odessa,836 ,0.32%,0.07 ,"17,184",0.06%,1.46 ,"11,762",0.04%,"1,377,851.755",0.22%,117.144 ,278.585,0.34%,0.024 ,669.732,0.33%,0.057 ,"$6,067,812",0.05%,$516 ,"$1,135,671",0.19%,$97 ,"$10,223,730",0.25%,$869 ,"$17,427,213",0.10%,"$1,482 ",,
Washington,239,BRY,Bryan,604 ,0.23%,0.02 ,"47,865",0.18%,1.26 ,"38,024",0.12%,"1,610,837.569",0.26%,42.364 ,276.002,0.34%,0.007 ,659.656,0.33%,0.017 ,"$36,552,849",0.30%,$961 ,"$3,301,378",0.55%,$87 ,"$11,048,675",0.27%,$291 ,"$50,902,903",0.30%,"$1,339 ",,
Webb,240,LRD,Laredo,"3,361 ",1.29%,0.01 ,"237,491",0.88%,0.86 ,"277,406",0.88%,"4,079,258.727",0.65%,14.705 ,456.020,0.56%,0.002 ,"1,219.805",0.61%,0.004 ,"$239,742,352",1.98%,$864 ,"$2,811,048",0.46%,$10 ,"$50,117,063",1.25%,$181 ,"$292,670,463",1.75%,"$1,055 ",,
Wharton,241,YKM,Yoakum,"1,086 ",0.42%,0.03 ,"51,254",0.19%,1.22 ,"42,154",0.13%,"1,861,265.568",0.30%,44.154 ,402.325,0.50%,0.010 ,925.384,0.46%,0.022 ,"$111,181,891",0.92%,"$2,638 ","$3,136,070",0.52%,$74 ,"$13,369,260",0.33%,$317 ,"$127,687,221",0.76%,"$3,029 ",,
Wheeler,242,CHS,Childress,915 ,0.35%,0.19 ,"6,457",0.02%,1.31 ,"4,936",0.02%,"572,589.884",0.09%,116.003 ,298.198,0.37%,0.060 ,713.161,0.35%,0.144 ,"$6,132,755",0.05%,"$1,242 ","$1,740,855",0.29%,$353 ,"$8,728,387",0.22%,"$1,768 ","$16,601,997",0.10%,"$3,363 ",,
Wichita,243,WFS,Wichita Falls,628 ,0.24%,0.00 ,"113,470",0.42%,0.88 ,"128,927",0.41%,"2,348,808.630",0.38%,18.218 ,434.425,0.54%,0.003 ,"1,134.082",0.56%,0.009 ,"$13,694,254",0.11%,$106 ,"$3,856,997",0.64%,$30 ,"$34,291,350",0.85%,$266 ,"$51,842,601",0.31%,$402 ,,
Wilbarger,244,WFS,Wichita Falls,971 ,0.37%,0.08 ,"12,845",0.05%,1.02 ,"12,566",0.04%,"694,823.672",0.11%,55.294 ,310.405,0.38%,0.025 ,728.025,0.36%,0.058 ,"$7,459,311",0.06%,$594 ,"$3,175,291",0.52%,$253 ,"$4,301,797",0.11%,$342 ,"$14,936,400",0.09%,"$1,189 ",,
Willacy,245,PHR,Pharr,591 ,0.23%,0.03 ,"16,547",0.06%,0.81 ,"20,510",0.06%,"617,052.622",0.10%,30.085 ,251.365,0.31%,0.012 ,539.902,0.27%,0.026 ,"$9,971,462",0.08%,$486 ,"$1,957,851",0.32%,$95 ,"$9,097,172",0.23%,$444 ,"$21,026,486",0.13%,"$1,025 ",,
Williamson,246,AUS,Austin,"1,116 ",0.43%,0.00 ,"574,108",2.13%,0.78 ,"737,942",2.34%,"11,231,855.004",1.80%,15.221 ,572.296,0.70%,0.001 ,"1,724.755",0.86%,0.002 ,"$74,505,606",0.62%,$101 ,"$4,532,334",0.75%,$6 ,"$24,573,052",0.61%,$33 ,"$103,610,993",0.62%,$140 ,,
Wilson,247,SAT,San Antonio,804 ,0.31%,0.01 ,"69,539",0.26%,1.23 ,"56,383",0.18%,"1,369,237.958",0.22%,24.285 ,331.328,0.41%,0.006 ,741.362,0.37%,0.013 ,"$7,050,377",0.06%,$125 ,"$2,225,412",0.37%,$39 ,"$12,443,399",0.31%,$221 ,"$21,719,188",0.13%,$385 ,,
Winkler,248,ODA,Odessa,841 ,0.32%,0.11 ,"11,569",0.04%,1.50 ,"7,731",0.02%,"616,404.944",0.10%,79.732 ,135.065,0.17%,0.017 ,292.460,0.15%,0.038 ,"$16,246,764",0.13%,"$2,102 ","$1,028,515",0.17%,$133 ,"$16,508,419",0.41%,"$2,135 ","$33,783,697",0.20%,"$4,370 ",,
Wise,249,FTW,Fort Worth,904 ,0.35%,0.01 ,"106,245",0.39%,1.40 ,"75,954",0.24%,"2,962,665.627",0.47%,39.006 ,383.578,0.47%,0.005 ,914.415,0.45%,0.012 ,"$34,677,740",0.29%,$457 ,"$1,958,519",0.32%,$26 ,"$14,707,340",0.37%,$194 ,"$51,343,599",0.31%,$676 ,,
Wood,250,TYL,Tyler,645 ,0.25%,0.01 ,"59,970",0.22%,1.25 ,"47,953",0.15%,"987,140.988",0.16%,20.586 ,417.853,0.51%,0.009 ,910.089,0.45%,0.019 ,"$21,646,010",0.18%,$451 ,"$4,355,244",0.72%,$91 ,"$6,192,517",0.15%,$129 ,"$32,193,772",0.19%,$671 ,,
Yoakum,251,LBB,Lubbock,800 ,0.31%,0.11 ,"11,674",0.04%,1.55 ,"7,519",0.02%,"295,774.323",0.05%,39.337 ,207.838,0.26%,0.028 ,430.738,0.21%,0.057 ,"$4,136,188",0.03%,$550 ,"$1,130,631",0.19%,$150 ,"$545,334",0.01%,$73 ,"$5,812,153",0.03%,$773 ,,
Young,252,WFS,Wichita Falls,915 ,0.35%,0.05 ,"24,343",0.09%,1.35 ,"18,024",0.06%,"404,347.880",0.06%,22.434 ,343.106,0.42%,0.019 ,702.311,0.35%,0.039 ,"$9,433,024",0.08%,$523 ,"$3,131,105",0.52%,$174 ,"$14,166,430",0.35%,$786 ,"$26,730,559",0.16%,"$1,483 ",,
Zapata,253,PHR,Pharr,998 ,0.38%,0.07 ,"12,544",0.05%,0.90 ,"13,963",0.04%,"291,478.043",0.05%,20.875 ,119.287,0.15%,0.009 ,289.152,0.14%,0.021 ,"$10,489,017",0.09%,$751 ,"$263,334",0.04%,$19 ,"$874,352",0.02%,$63 ,"$11,626,703",0.07%,$833 ,,
Zavala,254,LRD,Laredo,"1,297 ",0.50%,0.14 ,"9,322",0.03%,0.98 ,"9,546",0.03%,"528,128.536",0.08%,55.325 ,264.793,0.33%,0.028 ,541.448,0.27%,0.057 ,"$1,894,007",0.02%,$198 ,"$2,100,164",0.35%,$220 ,"$2,663,015",0.07%,$279 ,"$6,657,186",0.04%,$697 ,,
Statewide Total,,,,"261,270",100.00%,0.01 ,"26,959,135",100.00%,0.85 ,"31,572,300",100.00%,"624,233,072.348",100.00%,19.772 ,"81,179.983",100.00%,0.003 ,"201,299.174 ",100.00%,0.006 ,"$12,087,987,759",100.00%,$383 ,"$605,526,929",100.00%,$19 ,"$4,018,356,565",100.00%,$127 ,"$16,711,871,252",100.00%,$529 ,,
"*Certified Data provided for On-System Daily Vehicle Miles, Centerline Miles and Lane Miles is based on Calendar year 2024. These mileage statistics are On-System only (under the jurisdiction of TxDOT).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Certified Data provided by the Texas Demographic Center is based on Calendar year 2024.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
